Camada,Passo,Angulo_rad,Distancia_mm
0,0,0.0,200
0,1,0.39269908169872414,194
0,2,0.7853981633974483,190
0,3,1.1780972450961724,203
0,4,1.5707963267948966,194
0,5,1.9634954084936207,183
0,6,2.356194490192345,196
0,7,2.748893571891069,190
0,8,3.141592653589793,196
0,9,3.5342917352885173,198
0,10,3.9269908169872414,197
0,11,4.319689898685965,201
0,12,4.71238898038469,194
0,13,5.105088062083414,194
0,14,5.497787143782138,192
0,15,5.890486225480862,184
1,0,0.0,297
1,1,0.39269908169872414,300
1,2,0.7853981633974483,322
1,3,1.1780972450961724,288
1,4,1.5707963267948966,295
1,5,1.9634954084936207,308
1,6,2.356194490192345,307
1,7,2.748893571891069,369
1,8,3.141592653589793,270
1,9,3.5342917352885173,265
1,10,3.9269908169872414,262
1,11,4.319689898685965,120
1,12,4.71238898038469,116
1,13,5.105088062083414,100
1,14,5.497787143782138,107
1,15,5.890486225480862,106
2,0,0.0,107
2,1,0.39269908169872414,101
2,2,0.7853981633974483,99
2,3,1.1780972450961724,102
2,4,1.5707963267948966,102
2,5,1.9634954084936207,102
2,6,2.356194490192345,101
2,7,2.748893571891069,8191
2,8,3.141592653589793,8191
2,9,3.5342917352885173,186
2,10,3.9269908169872414,184
2,11,4.319689898685965,201
2,12,4.71238898038469,208
2,13,5.105088062083414,246
2,14,5.497787143782138,254
2,15,5.890486225480862,335
3,0,0.0,254
3,1,0.39269908169872414,51
3,2,0.7853981633974483,294
3,3,1.1780972450961724,264
3,4,1.5707963267948966,232
3,5,1.9634954084936207,197
3,6,2.356194490192345,256
3,7,2.748893571891069,205
3,8,3.141592653589793,247
3,9,3.5342917352885173,245
3,10,3.9269908169872414,302
3,11,4.319689898685965,107
3,12,4.71238898038469,137
3,13,5.105088062083414,137
3,14,5.497787143782138,157
3,15,5.890486225480862,8191
4,0,0.0,131
4,1,0.39269908169872414,129
4,2,0.7853981633974483,242
4,3,1.1780972450961724,243
4,4,1.5707963267948966,262
4,5,1.9634954084936207,204
4,6,2.356194490192345,259
4,7,2.748893571891069,60
4,8,3.141592653589793,291
4,9,3.5342917352885173,358
4,10,3.9269908169872414,344
4,11,4.319689898685965,212
4,12,4.71238898038469,358
4,13,5.105088062083414,375
4,14,5.497787143782138,345
4,15,5.890486225480862,359
5,0,0.0,47
5,1,0.39269908169872414,8191
5,2,0.7853981633974483,8191
5,3,1.1780972450961724,8191
5,4,1.5707963267948966,826
5,5,1.9634954084936207,721
5,6,2.356194490192345,227
5,7,2.748893571891069,220
5,8,3.141592653589793,205
5,9,3.5342917352885173,185
5,10,3.9269908169872414,96
5,11,4.319689898685965,149
5,12,4.71238898038469,147
5,13,5.105088062083414,195
5,14,5.497787143782138,183
5,15,5.890486225480862,394
